A,female,38,  9, 93.82,432.92
A,female,90, 11, 86.16,473.89
A,  male,88, 10, 39.07,367.91
A,  male,78, 11, 99.86,400.56
A,  male,56,  5, 93.90,528.39
A,  male,20,  7, 86.95,553.11
A,  male,79, 13, 77.15,634.10
A,  male,50, 15, 67.39,673.98
A,  male,71, 13, 76.60,575.45
A,  male,99,  6, 84.02,396.59
A,  male,42,  9,121.55,553.64
A,  male,50,  7,167.06,455.45
A,  male,81,  9, 83.37,616.97
A,  male,10,  8, 70.56,276.18
A,  male,29,  9, 75.60,401.47
A,  male,48, 10, 57.51,564.71
A,  male,80, 10,104.30,461.80
A,  male,83, 18,118.72,290.58
A,  male,98,  6, 96.11,820.55
A,  male,14, 12,132.92,655.16
B,female,91, 10,115.72,325.07
B,female,44, 16, 99.60,467.17
B,female,36, 12,106.09,510.21
B,female,43,  8,140.59,336.86
B,female,51, 18,102.80,381.89
B,female,53, 11, 92.16,611.87
B,female,82,  8, 93.71,595.81
B,female,51, 12,111.12,622.49
B,female,15, 14,101.16,360.04
B,female,75, 13, 52.21,691.59
B,female,37,  7,100.48,430.25
B,female,25,  9, 43.15,504.81
B,female,88, 14,133.43,658.83
B,female,15,  5,113.10,629.49
B,female,47, 13, 97.74,776.47
B,female,45,  8,148.11,369.79
B,female,59, 10,126.22,397.09
B,female,58,  9,112.15,720.47
B,female,19,  7,123.66,642.34
B,  male,57, 11,151.63,532.32
B,  male,96,  5, 59.23,444.78
B,  male,35,  7, 98.68,289.46
B,  male,30, 12,111.70,754.92
B,  male,69, 14,104.41,605.77
B,  male,37, 15,101.75,479.67
B,  male,44,  9,113.75,584.71
B,  male,22, 10,126.86,262.49
B,  male,51, 10,107.10,378.24
B,  male,57,  7,113.91,690.74
B,  male,16, 10, 86.29,569.27
B,  male,84,  8,127.76,749.14
B,  male,23,  8,141.82,516.62
B,  male,41, 14, 92.58,576.51
C,female,32, 10,112.81,571.07
C,female,63, 12,118.44,553.32
C,female,83, 11,123.38,356.73
C,female,64,  7, 52.25,393.10
C,female,67, 12,102.95,311.36
C,female,26,  9, 93.92,515.26
C,female,21,  9, 90.97,597.86
C,female,23, 19, 63.23,487.14
C,female,45,  9,132.46,356.68
C,female,90,  8, 90.45,642.84
C,  male,90,  9, 65.00,451.60
C,  male,78, 11,106.38,401.82
C,  male,37, 18,115.54,280.47
C,  male,37, 12, 92.93,622.31
C,  male,16, 10,113.57,531.18
C,  male,19,  6, 62.19,524.02
C,  male,22, 11,126.68,508.41
C,  male,54,  6,114.44,564.32
C,  male,66,  6,100.74,631.57
C,  male,86, 11, 34.69,480.73
C,  male,18,  6,110.85,632.75
C,  male,68, 12,110.60,640.48
D,female,21, 10,128.71,413.68
D,female,98,  6, 54.45,430.18
D,female,73, 11, 53.42,765.86
D,female,70, 16,147.21,513.45
D,female,75, 14, 98.75,734.56
D,female,74,  9, 94.85,357.75
D,female,68,  7,127.85,461.37
D,female,70,  6, 93.85,532.88
D,female,51, 14,126.63,358.37
D,female,44, 10,103.29,545.46
D,female,43, 11,105.92,620.11
D,female,30,  9,132.96,596.09
D,female,51, 11,115.17,440.76
D,female,19, 18, 99.05,427.64
D,  male,51,280,109.07,556.18
D,  male,97,  9, 97.56,502.79
D,  male,85,  9, 79.33,433.97
D,  male,80,  8, 96.65,556.79
D,  male,61,  7, 93.02,464.14
D,  male,21,  9,168.89,665.22
D,  male,70,  8,105.33,600.55
D,  male,91,  7,112.22,464.26
D,  male,70,  8, 97.25,340.58
D,  male,53, 11,126.58,450.37
D,  male,22, 10, 91.14,547.06
